"Ticker","Name","Mkt Cap £m","P/E","Op Profit","ROCE %","Net Debt","Div Cover","EV",""
"BKG","Berkeley","2,920","11.4","374.8","22.9","-129.1","1.05","2,791"," "
"MONY","Moneysupermarket.Com","1,010","23.0","48.2","22.9","20.7","1.00","1,030"," "
"PFL","Premier Farnell","631.6","12.0","91.5","22.6","227.8","0.17","869.8"," "
"BME","B&M European Value Retail SA","2,493","-","103","22.3","1,032","-","3,549"," "
"LKCS","Lucky Cement","2,937","40.7","16,788","22.3","-139.2","4.09","489,986"," "
"NOG","Nostrum Oil & Gas LP","1,259","9.05","362","22.3","418.5","3.48","2,816"," "
"JD.","JD Sports Fashion","824.5","12.2","70.0","22.1","-11.2","3.61","827.5"," "
"DNO","Domino Printing Sciences","659","17.2","46.8","21.8","-20.9","1.40","638.1"," "
"AGK","Aggreko","3,778","16.3","341","21.7","537","3.35","4,315"," "
"OKEY","O'Key SA","1,216","15.0","8,257","21.2","22,657","2.38","101,349"," "
"HLMA","Halma","2,187","24.3","143.6","21.1","74.5","2.52","2,262"," "
"KHTC","Kumho Tire Co Inc","2,663","5.15","321,375","21.1","2,217,384","-","6,855,615"," "
"SHP","Shire","21,920","18.2","1,907","20.9","907.2","15.4","36,021"," "
"DGO","Dragon Oil","2,513","7.02","752.1","20.7","-2,471","3.00","1,554"," "
"BNK","Bankers Petroleum","620.6","11.5","228.3","20.6","54.6","-","1,049"," "
"BAG","A.G.Barr","663.2","20.0","37.8","20.5","3.65","2.36","666.9"," "
"OGN","Origin Enterprises","794.9","15.4","79.4","20.5","11.9","2.44","1,004"," "
"ATAD","Tatneft' OAO","7,619","32.7","127,674","20.4","-34,582","4.84","484,243"," "
"NCC","NCC","369","22.4","24.1","20.3","23.6","2.45","392.5"," "
"GOG","Go-Ahead","990.8","13.5","109.5","20.2","44.6","1.92","1,052"," "
"SVS","Savills","816.8","13.5","66.4","20.1","-2.50","3.72","815.3"," "
"ITRK","Intertek","3,937","19.4","299.8","20.0","660.8","2.57","4,626"," "
"CCC","Computacenter","833.4","13.6","73.9","19.9","-54.0","1.91","779.4"," "
"UBM","UBM","1,250","10.2","170.6","19.8","466.9","1.89","1,747"," "
